alpha,g_Leak,vSTMD_AUC,vSTMD_F_AUC,vSTMD_AAE,vSTMD_F_AAE
0.1,0.6000000000000001,0.5867202294637863,0.607944684291442,1.3306462850684726,1.0513216911240881
0.2,0.6000000000000001,0.5544871325056402,0.6283677016122828,1.2534707836509853,1.0291979482112434
0.30000000000000004,0.6000000000000001,0.4836876112693382,0.6193466085943098,1.214541689257463,1.0270433389892106
0.4,0.6000000000000001,0.3995990907765731,0.6020178695478907,1.1405885209756734,1.0393459227706283
0.5,0.6000000000000001,0.3077294191321396,0.5790172842997751,1.0680564568497963,1.0445051698673364
0.6,0.6000000000000001,0.2328195422926852,0.5497343606316204,1.0285868352538916,1.0437665946115111
0.7000000000000001,0.6000000000000001,0.18388937065476477,0.5210832845043348,0.9413508659766239,1.055146711301781
0.8,0.6000000000000001,0.15221472893069987,0.5010618463501713,0.9283024647302549,1.056667343850151
0.9,0.6000000000000001,0.14545501511417425,0.4966675827398366,0.9274150458954049,1.0593982474183128
1.0,0.6000000000000001,0.14541667710397901,0.49661055832939177,0.9272683760897203,1.0588797946760613
0.1,0.7000000000000001,0.6048376997562613,0.6267927043852273,1.4504688469464833,1.2423791616240851
0.2,0.7000000000000001,0.5519501827002041,0.632969537609772,1.4130736189727584,1.2234217463066497
0.30000000000000004,0.7000000000000001,0.46072281820630007,0.6073481648866758,1.3719010251204649,1.2253514628008984
0.4,0.7000000000000001,0.3619209812348768,0.5768179488135016,1.3418489263213431,1.2270760355714034
0.5,0.7000000000000001,0.2717305457310691,0.5428858280938101,1.2772854812343466,1.2238756186428013
0.6,0.7000000000000001,0.20070694324408175,0.5050170740970107,1.2083626738041457,1.2183488150774224
0.7000000000000001,0.7000000000000001,0.14499340349531462,0.4706081817118206,1.1354026023050579,1.2090286221969897
0.8,0.7000000000000001,0.11349035990036614,0.45175766242120735,1.0974621446983785,1.2127726471178282
0.9,0.7000000000000001,0.10742720916098379,0.44739765384461494,1.1218661916266943,1.2133453708108959
1.0,0.7000000000000001,0.10737386917746089,0.447384467699493,1.1228301899089121,1.213270278975331
0.1,0.8,0.6074681432884169,0.6306544412741059,1.5266718373944965,1.3996137751158082
0.2,0.8,0.5333092340746054,0.6219455576949745,1.5126404080416014,1.3886942955207002
0.30000000000000004,0.8,0.4297696046491987,0.5823381558313718,1.5055848417761701,1.3813384759838319
0.4,0.8,0.32685344565075863,0.5416838693530065,1.4903687313436467,1.370560451149073
0.5,0.8,0.2371604021388709,0.49891746606156834,1.4297432190492778,1.3596738577008107
0.6,0.8,0.16516286817434214,0.4553585847147731,1.3688241322228014,1.337236173039471
0.7000000000000001,0.8,0.10970306510319217,0.4237278546464946,1.3324577006764717,1.3236772475382435
0.8,0.8,0.08151182897139687,0.4034112614121927,1.3096171333917515,1.3181859131114948
0.9,0.8,0.07530767068648848,0.3993348517545917,1.2996055094739958,1.322256768819309
1.0,0.8,0.07524603221384413,0.39899029015519527,1.3007814733232779,1.3219726932089348
0.1,0.9,0.5874847643130533,0.6170394988070156,1.5642800664970498,1.5292644210316748
0.2,0.9,0.4986912653895428,0.595337400203231,1.577107510322182,1.5053793236976158
0.30000000000000004,0.9,0.38778703785838964,0.5431216651892252,1.5897247585561143,1.4937626709452758
0.4,0.9,0.27774739808368176,0.494581666861425,1.600419753544274,1.4653774222768636
0.5,0.9,0.18644448209743816,0.4444799199575363,1.5523838215891277,1.4432884415370497
0.6,0.9,0.11534178453602713,0.40587285782216814,1.504742309410587,1.4110629960047445
0.7000000000000001,0.9,0.07985889521710263,0.37214842635249756,1.4746518102206903,1.3976393066866044
0.8,0.9,0.06433128504240215,0.3495855224980795,1.4446750216621684,1.3912419317471736
0.9,0.9,0.06104334261859877,0.3439816115252874,1.4180639168363531,1.3977579653750836
1.0,0.9,0.060996982433281804,0.34393257485279394,1.417729488505007,1.3974130561754259
0.1,1.0,0.41448794575394965,0.5762159165008209,1.5365796215372385,2.0435557162315874
0.2,1.0,0.36574999212408354,0.5819414762766747,1.5747293989942381,2.092060504813577
0.30000000000000004,1.0,0.32958027979351695,0.5735022005696491,1.5654739579193613,2.120304792094699
0.4,1.0,0.30826266993742013,0.5664501567992483,1.5741235842239678,2.1293353865296782
0.5,1.0,0.29292797281515415,0.5620282611150577,1.5888628587819738,2.129885339962137
0.6,1.0,0.282856161066645,0.559971858889699,1.5874560337028993,2.1149444125295456
0.7000000000000001,1.0,0.275070958838319,0.5619553451655888,1.5784068952883663,2.0898552742343663
0.8,1.0,0.27248300673422454,0.5643593546700487,1.576624027852387,2.0733843838502097
0.9,1.0,0.27140884466259096,0.5644973059751849,1.5761110741992461,2.069615229899069
1.0,1.0,0.27140196147454904,0.5644891124650493,1.575423341681641,2.069343699208137
0.01,0.01,0.018260248328559492,0.07108583425904996,1.1325356180868034,0.8646097232679228
0.5,0.01,0.007727986748301974,0.05546596484752763,0.8073205216163336,0.684848028306703
0.99,0.01,0.005629084165184205,0.03388569777863055,0.9106377223670123,0.6157835539592882
0.01,0.5,0.4278808556172097,0.4584014740728218,1.3461400815313354,0.9632465361383938
0.5,0.5,0.3484500668407845,0.6043423781025246,0.8647047860401479,0.8324556764470972
0.99,0.5,0.18486170025824547,0.5445673253960942,0.8250341486036976,0.8590915442039694
0.01,0.99,0.39410982600099803,0.43788608023677406,1.527740446146331,1.6397085302668073
0.5,0.99,0.23985510733139692,0.28976694744314274,1.5043646697211066,1.6869548724262393
0.99,0.99,0.2531256495459203,0.27659540495381746,1.532057805711109,1.6883527592667165
0.31572921870681203,0.8465796954674041,0.3968735844949016,0.5589753591673744,1.539387445033321,1.4364825320148007
0.15060307308900964,0.4728577338427789,0.5459683021241643,0.5965657024419118,1.0730463056982835,0.7869932780905309
0.13748531227380326,0.5288350597125636,0.5652790523235736,0.604147430770912,1.1816910439503854,0.9005673020888438
0.45145541243406934,0.0660548730086006,0.16274932846605025,0.5202848087713381,1.1897988990815822,0.59299504656973
0.7159681586685314,0.6038949756721609,0.175969248290382,0.5144030463328986,0.9571260129917917,1.0622739208828913
0.9712739689800138,0.18630452454577742,0.25608741760953463,0.6221989104031195,0.7044000258509557,0.4554931678481734
0.28740046909649214,0.7098311669852484,0.47039484152201405,0.609408519519565,1.3838780798479295,1.2414753514592667
0.900756275934901,0.46790513308669573,0.19688788437763147,0.558846226507627,0.728672259405796,0.7946929452339482
0.7033782158825039,0.34527700712941944,0.28743223824919456,0.6121573682877895,0.6408669721652005,0.5469021178799357
0.7895138179707405,0.5535080505203905,0.17320586699517188,0.5253121857555252,0.8523663230112092,0.9678226580310886
0.5029911670141592,0.11826835778671659,0.2750152846236064,0.59327903176405,0.7306319737611169,0.4642536160888586
0.6592780487163971,0.3531944202333745,0.30400980087140067,0.614720200505712,0.6476544702847639,0.5530340024342846
0.7677447282975131,0.4481685295309875,0.21586185454179613,0.57288797516039,0.7247509579909382,0.745465773867596
0.2981703707962388,0.9475827086421916,0.3517839526679177,0.5204522191998567,1.620785148040415,1.523817249979636
0.1933274022738411,0.678004046352111,0.559663840538418,0.6358069674101756,1.3804473573297336,1.1860416642103753
0.6127364518793983,0.9691448025785735,0.1325826996180086,0.2926372577713269,1.4501148899573024,1.5214107056855672
0.7828445164636744,0.7116467671682806,0.11287694702106428,0.44806224398826017,1.1285398348949247,1.2277820551278296
0.020669084527841636,0.2972465413712997,0.3881379313569014,0.43423853183004557,1.123372540644335,0.6383141922199225
0.6406323370964709,0.47974161481807626,0.25514928747091686,0.5838111023349989,0.7606356785666013,0.8005673631069464
0.40447487901860313,0.13623379007917344,0.3212665385442266,0.5803570895087135,0.5519983614508086,0.4230189226366262
0.5237031650980591,0.3871813427880854,0.3707360100484819,0.6203748535506836,0.6309894220686839,0.6003401412505258
0.5609142323022236,0.5212689671983726,0.28945129074130826,0.5879495880518704,0.8820884966192797,0.882014363740086
0.5310499133966718,0.7851840610510543,0.21848916100056393,0.4926284873589237,1.3723042849065836,1.3418491461680893
0.6949698138350503,0.7812347968306939,0.11877622519458991,0.43321174645772587,1.2833775687057933,1.3067091339448256
0.6153681734328008,0.924878532698206,0.10281127879957012,0.38307464292758747,1.5030583986874337,1.4323875793803287
0.6876785759495533,0.7340446944198509,0.1390777574365046,0.4575791067871724,1.198893118426199,1.255236182371033
0.46397036825530447,0.27109956399499957,0.4077661298868485,0.6173829153461687,0.5350609959846357,0.4360612604249304
0.13000639502789968,0.37276623885419596,0.5012558751037622,0.561944396940205,0.8884058768576161,0.6018367324546116
0.6316618441619701,0.07304996746297666,0.13638875993820418,0.5545397579005925,1.5219742847204822,0.6897218385756464
0.5918054838365868,0.9110205662569373,0.11513306712283687,0.4015461680163718,1.5170577113699437,1.4208024864500108
0.8902033954595083,0.897513392923986,0.06074443008945965,0.3457593697437702,1.4159871035234843,1.3945979812326261
0.3288705029226839,0.29832733640552633,0.4528054974378655,0.6027082269894769,0.5965493473800263,0.46172665154555387
0.13123300942238336,0.11154169641878907,0.2600595438133995,0.43575837720853844,0.5704256518171561,0.4990403377863352
0.8886361744066417,0.7669529855076577,0.08496075901683788,0.4151811861416569,1.249572013977277,1.2910647468954497
0.6448219590958346,0.5297638045893205,0.2321131821901962,0.5653893961268109,0.8752162499688938,0.9053788359692161
